slug,source_file,wav_path,srt_path,segment_index,start_seconds,end_seconds,duration_seconds,local_speaker_label,speaker_label,run_id,model_id,device
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,135,600.815,611.159,10.344,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,136,611.159,614.973,3.814,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,137,614.973,617.656,2.683,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,138,617.656,622.837,5.181,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,139,622.837,631.088,8.252,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,140,631.088,631.949,0.861,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,141,632.017,645.989,13.972,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,142,645.989,649.229,3.24,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,143,649.195,652.891,3.696,SPEAKER_00,Speaker 1,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
engineering-accountability-in-public-sector-ai,research/hmrc-beyond-hype/import/Engineering_Accountability_in_Public_Sector_AI.m4a,research/hmrc-beyond-hype/transcripts/_wav/engineering-accountability-in-public-sector-ai.wav,research/hmrc-beyond-hype/transcripts/engineering-accountability-in-public-sector-ai.srt,144,652.942,662.155,9.214,SPEAKER_01,Speaker 2,pyannote_community1_mps_20260511T111450Z,pyannote-community/speaker-diarization-community-1,mps
